Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of Comparable Pre-Pandemic Day,Metro-North: Total Estimated Ridership,Metro-North: % of Comparable Pre-Pandemic Day,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comparable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day,Staten Island Railway: Total Estimated Ridership,Staten Island Railway: % of Comparable Pre-Pandemic Day
04/11/2022,3205728,0.57,1433226,0.66,161131,0.52,140224,0.49,23569,0.81,901316,0.96,6354,0.39
04/12/2022,3078069,0.55,1496004,0.68,172294,0.56,149369,0.52,25286,0.87,936334,1,7099,0.44
04/13/2022,3220964,0.58,1495891,0.68,163448,0.53,147043,0.51,25847,0.89,949712,1.01,6593,0.41
04/14/2022,3297697,0.59,1438990,0.66,162946,0.52,144335,0.5,25073,0.87,982717,1.04,6381,0.39
04/15/2022,2761532,0.5,1137728,0.52,166068,0.53,140217,0.49,20908,0.72,973156,1.03,4728,0.29
04/16/2022,1986306,0.63,830874,0.62,89011,0.78,83725,0.56,13413,0.8,885536,0.97,2133,0.42
04/17/2022,1512633,0.62,596619,0.6,71258,0.78,71704,0.7,14704,0.79,845418,0.98,1640,0.5
04/18/2022,2676254,0.48,1145261,0.52,154315,0.5,139151,0.49,20245,0.7,901207,0.96,5209,0.32
04/19/2022,2962130,0.53,1189960,0.54,168354,0.54,151518,0.53,22359,0.77,895086,0.95,5841,0.36
04/20/2022,3098046,0.56,1265823,0.58,171730,0.55,155674,0.54,24212,0.84,942383,1,6097,0.38
04/21/2022,3033422,0.54,1231047,0.56,165823,0.53,147535,0.51,23239,0.8,920202,0.98,5738,0.35
04/22/2022,2985684,0.54,1217380,0.56,157943,0.51,145606,0.51,22298,0.77,935779,0.99,5340,0.33
04/23/2022,2109188,0.67,844146,0.63,79436,0.7,89804,0.6,13459,0.81,907580,0.99,59,0.01
04/24/2022,1655860,0.68,648591,0.65,64842,0.71,67580,0.66,12927,0.69,875218,1.01,3,0
04/25/2022,3026541,0.54,1415638,0.65,159569,0.51,138979,0.48,22370,0.77,883942,0.94,6322,0.39
04/26/2022,3281657,0.59,1453452,0.66,172171,0.55,153893,0.54,23800,0.82,897493,0.95,7024,0.43
04/27/2022,3432282,0.62,1500437,0.69,172613,0.56,153109,0.53,25229,0.87,934481,0.99,6903,0.43
04/28/2022,3404938,0.61,1468093,0.67,167300,0.54,146321,0.51,24321,0.84,968651,1.03,6765,0.42
04/29/2022,3257634,0.58,1429909,0.65,164944,0.53,136881,0.48,23421,0.81,994415,1.06,5900,0.36
04/30/2022,2108746,0.67,884540,0.66,82887,0.73,82838,0.56,14223,0.85,938739,1.03,2123,0.41
05/01/2022,1683953,0.7,676070,0.7,64630,0.66,62502,0.6,12976,0.76,870826,1.02,2694,0.77
05/02/2022,2732825,0.48,1176867,0.52,146394,0.46,126784,0.44,21695,0.74,883276,0.92,5425,0.31
05/03/2022,3402882,0.6,1500109,0.66,177868,0.56,155261,0.54,24680,0.84,929868,0.97,7400,0.43
05/04/2022,3364902,0.59,1465639,0.64,168539,0.53,147078,0.51,25462,0.87,921590,0.96,6747,0.39
05/05/2022,3502522,0.61,1523580,0.67,174640,0.55,150087,0.52,25903,0.88,982930,1.02,7061,0.41
05/06/2022,3190556,0.56,1353750,0.6,154325,0.48,129417,0.45,23411,0.8,953902,0.99,5729,0.33
05/07/2022,1842808,0.57,706551,0.51,72948,0.62,68612,0.46,13033,0.75,841086,0.88,1523,0.31
05/08/2022,1582133,0.66,630228,0.65,73703,0.76,73027,0.7,15375,0.9,891361,1.05,1449,0.41
05/09/2022,3114506,0.54,1428758,0.63,163741,0.51,140940,0.49,22008,0.75,917036,0.95,6564,0.38
05/10/2022,3412902,0.6,1504314,0.66,175823,0.55,158627,0.55,24148,0.82,933451,0.97,7176,0.41
05/11/2022,3440378,0.6,1514922,0.67,178061,0.56,156792,0.55,25548,0.87,948266,0.99,7159,0.41
05/12/2022,3430104,0.6,1495220,0.66,169543,0.53,149204,0.52,25158,0.86,981139,1.02,6866,0.39
